videoId,timestamp,comments_1,likes_1,views_1,comments_2,likes_2,views_2,comments_3,likes_3,views_3,comments_4,likes_4,views_4,comments_5,likes_5,views_5,comments_6,likes_6,views_6,comments_7,likes_7,views_7,comments_8,likes_8,views_8,comments_9,likes_9,views_9,comments_10,likes_10,views_10,comments_11,likes_11,views_11,comments_12,likes_12,views_12,comments_13,likes_13,views_13,comments_14,likes_14,views_14,comments_15,likes_15,views_15,comments_16,likes_16,views_16,comments_17,likes_17,views_17,comments_18,likes_18,views_18,comments_19,likes_19,views_19,comments_20,likes_20,views_20,comments_21,likes_21,views_21,comments_22,likes_22,views_22,comments_23,likes_23,views_23,comments_24,likes_24,views_24,views_192
XE9pUM9MEFA,1529790296,"73815,0","157089,57627118644","207415,7905665214","276775,54447577544","421815,84859408793","541191,9944203348","632479,7811531308","730901,7102657635","812799,3652944241","897603,3197278911","956540,8393511251","1019230,0881047961","1098028,4823579125","1153667,661542539","1207407,2145680406","1264468,5682003812","1322194,0179905896","1378626,621249656","1413370,104431273","1493163,5829117482","1570894,1888029983","1643234,8774888732","1723722,1323008025","1792807,3347639486","1872216,457752256","1932031,7221412964","2031476,2630959388","2147420,1237506815","2255467,8795202617","2341513,248853795","2433381,10417728","2515149,911932523","2590546,596397721","2647701,9722477486","2711724,1517723417","2772787,5566650024","2818737,417118093","2842091,78578024","2868613,1879582317","2889157,422572762","2903263,921580547","2927752,181605612","2955872,079040226","2988291,376451078","3027732,8358208956","3065204,374151507","3103936,694864048","3144577,3556568823","3180746,92760181","3245536,1226993864","3310753,7827648115","3353423,010050251","3409849,1470412435","3454135,2507020677","3502459,3333333335","3545836,459738089","3576866,1737764985","3613922,418748246","3637320,5864697476","3672749,2885835096","3694450,1342494716","3715749,424539877","3730250,0881987577","3743750,460869565","3757559,777540107","3777440,0219571698","3792817,5373475607","3811814,06588824","3847218,5517241377","3883932,7202755315","3920115,1425945377","3954341,8405215647","28323,51669595782"
vbph9F_pRNI,1529877098,"103432,0","208862,37964236588","265453,2673165726","338803,4982042073","448075,76363636367","532288,5228215768","611010,5145228216","654350,9321047526","710790,5053346265","767484,0325814537","821336,9776148206","876130,6666666666","911411,5232113599","948050,094117647","976733,6235294117","997013,3365658871","1018322,2826956025","1044248,2875989446","1068452,8258575199","1093851,8226477935","1123837,0196512593","1154690,7157509157","1183931,0952380951","1210537,1935978206","1235666,08854078","1272887,6412063134","1352942,3236200616","1402612,2819105133","1451036,4634009008","1482514,641504329","1513422,7396351576","1541707,498905908","1564607,3269904857","1585003,4552102378","1601647,6965265083","1624664,0318609704","1644045,7715946843","1663342,8975447104","1671151,28125","1680404,40625","1687573,727681078","1693428,393382353","1696049,4488428745","1703574,8423111646","1715243,8015267176","1725857,5899677866","1736314,0525394045","1749355,8744769874","1760707,5711311589","1773147,5862068965","1784932,1302403577","1795319,6218487395","1805210,8195819582","1815659,1459521095","1824621,5911290322","1832162,7098757685","1840802,4388254485","1849476,5001350986","1858488,4692982456","1866214,6981894884","1872817,7702702703","1878154,8565573771","1883756,8623853212","1888164,6984126985","1891912,7196230225","1896285,0375167485","1901412,9213732004","1908208,6827340971","1915591,9791220557","1921950,345624656","1929816,1195919802","1935693,7255448555","12068,993287037038"
mpZWt5pGKZ8,1530222741,"134664,0","230107,52795031056","291061,5652173913","351442,0083310192","476751,60267111857","591080,0632911392","679534,0087299353","767871,914941729","840276,4374673857","906899,8372093023","967343,1288014312","1026055,1414790996","1098583,505858029","1126536,6273209548","1155219,0543766578","1182769,4806750135","1212281,4775086506","1240383,8996539793","1281460,0376106196","1323572,998933902","1374955,7087776866","1427772,4402407566","1493164,5037037036","1543947,3927710843","1592645,0663716814","1657392,9540548022","1715377,2148148147","1768213,3202210662","1807648,961721291","1840826,8724489796","1873035,523489933","1904117,2462266942","1937438,6594297672","1975438,2961948249","2011189,7998256828","2035711,1548480464","2061286,0170772676","2077036,9525497681","2088648,7626903553","2101506,6117142136","2110735,504811251","2120412,2683039852","2133325,1573187415","2148201,9580281135","2163223,1884648995","2177611,5","2194608,8198247533","2211004,9303356553","2225450,495226438","2241871,508245472","2259674,412612613","2281341,180487805","2295641,7486054297","2310189,071096174","2323757,3720930233","2336278,7953565507","2348920,384487271","2360865,060085837","2373132,965424819","2381518,634518874","2390940,0615317477","2396072,52522133","2399812,4668470905","2404331,9643835616","2408285,6448852587","2412586,624535316","2418180,6765799257","2424920,3826118857","2432010,6175171738","2438294,544097693","2447296,288621826","2456181,598989048","18691,054957296696"
qrIh-ZHN4-E,1530394653,"88496,0","225045,29270946683","304324,4140179299","539806,426074634","836118,933640958","1035246,9494616569","1190094,5504009165","1315641,813839949","1456796,8127786033","1594508,1834163493","1686384,4375","1782741,9464285714","1890696,3321759258","1970995,487220877","2031736,6831790963","2098206,0055194166","2163498,4951705104","2212948,3736038296","2275050,43525741","2336423,8835815475","2414397,9482382857","2479731,8199192462","2556332,8843846573","2640353,389747319","2725655,06954362","2843514,6561168595","2917059,3913572733","2998944,2453703703","3051208,8409680207","3082096,802357456","3116318,4780656304","3151625,8355785836","3191989,171597633","3239704,534120735","3278385,545982575","3311834,285714286","3346958,3517031292","3368309,9452264383","3390386,7635248187","3406734,6089318045","3414466,896197948","3427438,491001482","3456654,667160703","3481011,1795878313","3500225,6054955837","3519915,7984602693","3537613,2555055646","3582215,576130713","3631307,496736766","3671570,5859318348","3710969,49957204","3743979,1525085517","3779137,7242978616","3814929,6534954407","3842828,0592783503","3873403,29254571","3898781,7767288177","3935739,341043191","3960176,2836374003","3976740,4185022027","4007646,8709510234","4022611,3507391056","4037468,1754655405","4050727,1071995767","4059114,770206022","4071765,1664025355","4086603,7284735814","4102246,292074364","4123655,8884360674","4145305,404482934","4167644,3454456176","4195320,837453822","14952,713443396226"
3iaDrpKdaIc,1531346285,"195867,0","340115,79267277266","420044,9291792479","571956,4306889926","811240,1028141544","973604,7785016287","1113582,6286644952","1290963,4081858408","1527378,3789107765","1664060,4451783355","1754882,7154285714","1826414,8489583333","1951752,3555679598","2013018,6581469649","2056035,8184912081","2124629,7763193874","2157800,01816609","2230869,1203506906","2291019,0920577617","2349342,3438559873","2430175,411990145","2499028,4357221005","2573307,7589442814","2664510,275285373","2752341,819420784","2826954,882687927","2896799,429017702","2945419,2006779662","2994623,822535211","3027776,0756123536","3074659,0174795603","3125023,5252403845","3159539,433090635","3190718,958239278","3220984,9778826307","3247597,013848817","3270782,9912767643","3285034,1734166895","3299410,1439969605","3315671,1050939662","3325442,178935118","3339240,940962761","3354442,339805825","3370124,9640668523","3389211,5360085038","3406629,1585492226","3424215,1983442567","3441773,920792079","3460583,342465753","3478629,09274673","3494047,883014623","3510975,293448998","3524301,6015686276","3537167,7992146597","3549923,8884244375","3562451,3128071697","3573523,249815951","3586661,1970158345","3596299,2645177166","3607102,060197664","3615013,865697177","3621107,573054229","3626263,7967125596","3631379,6783472802","3636310,9604395605","3641724,6527360887","3648288,1561113354","3655780,915407855","3663062,463414634","3671799,5415754924","3680072,041847042","3688166,2154730144","25204,88871349645"
foLlul8Tl3E,1531605350,"324558,0","469185,64137931034","529678,9930555555","1285918,6510791366","1796786,2421140012","2184878,0682899524","2500157,204979253","2783338,140215291","3057727,8219792545","3337619,845927904","3575289,058210948","3816709,710608204","4028318,043525869","4227669,498334259","4378995,323865219","4482160,333241227","4598100,1791086355","4743923,810457516","4917035,5281152865","5100893,391304348","5321850,024936957","5574872,247470604","5861837,424208773","6163883,607025247","6435755,294701987","6720045,324772162","7039585,713280563","7305096,594693985","7484934,261111111","7629987,696775987","7770842,688851913","7908112,182343234","8037459,302463891","8158766,300576448","8269604,253525265","8385369,544857768","8493951,86196056","8586849,735339906","8669687,920510588","8744190,382833788","8822109,32873807","8904642,149184149","8992838,893878719","9111878,025702173","9208698,718066433","9348364,920547945","9516479,008101853","9644074,866381614","9772758,137614679","9922047,592743028","10042973,346554149","10163962,804017372","10290526,894475138","10413368,637018565","10532738,707417583","10657910,08453134","10781188,094246576","10901600,061609996","11028079,553493168","11149810,551973319","11275721,734545454","11373524,842857143","11454011,157652475","11517186,188108109","11582403,230010953","11653261,988595271","11736075,908990623","11828900,667310879","11927891,388163378","12023395,507701084","12140377,859205777","12244039,17340877","32773,629941127"
WRzIuC2MKOU,1531864396,"12459,0","166175,98492737737","232687,68676349684","416659,30730758543","771724,3810052762","1029511,924543721","1195916,0651048762","1353325,3727465535","1523451,141569459","1637190,0","1752650,1353179973","1856299,5731570062","1958379,5055812688","2029203,3552953987","2095720,4761904762","2156526,407913068","2207366,644230769","2271584,1769187357","2325195,557955167","2384838,3970588236","2444786,7163865548","2518768,35490949","2599192,572327044","2681623,0830930537","2765397,8668414154","2839587,2898186888","2907344,150140056","2957819,1569519476","2998411,9313998884","3014100,670536208","3059908,2213656385","3121132,131738253","3155169,8997650743","3191165,110857143","3224012,8130134735","3259569,8415147266","3291857,9136087834","3314570,0873915944","3334297,846208363","3357953,149168101","3371812,4836149514","3386747,615275007","3403589,3163152053","3418665,825710754","3438057,828852459","3454453,3933054395","3477751,9425028185","3502998,0495261387","3522803,7377092745","3543422,8121632026","3568483,0617408906","3585174,6908778953","3600800,2653834936","3614131,0693561756","3625654,474442988","3640413,1914893617","3655006,6160736503","3665916,416837782","3679164,6026036316","3689740,5536363637","3699159,426209726","3706444,571618197","3713385,959810875","3716529,5890410957","3720274,5899008964","3725187,6134804655","3730942,7835645117","3737450,7343345415","3744871,364323719","3752186,0","3759346,5939657376","3766384,1694863117","21864,54658100046"
-0zoWMSEOGg,1532555214,"174951,0","352132,61174189975","459726,4413965087","620020,3508087005","853533,5352307267","1112266,429958391","1254825,2520729685","1454170,4927652732","1605570,1712218649","1744270,3967511014","1842567,3581669948","1927604,4458161865","2126666,4226804124","2234415,220825362","2324354,0301050837","2388181,293258427","2485198,144605117","2543590,5786666665","2637729,944723618","2730520,096032832","2814681,6422809456","2908785,3266998343","2971709,153191489","3076667,7280130293","3180984,048400556","3267811,9265","3373488,1265000002","3435960,517490283","3499332,6411301275","3590899,741851369","3649877,7861799216","3711479,902857143","3767975,4185430463","3818008,21574344","3863992,349675965","3904802,688888889","3949202,0032292786","3988356,3559223865","4022269,856103476","4052023,5147679327","4079393,245314685","4109708,4785388126","4141702,72388664","4175278,9257641924","4214678,215706807","4256614,446073298","4298660,057507987","4340685,291037506","4383125,135168047","4417569,649528706","4456223,627407815","4494927,46171108","4520981,4350175625","4541853,132666847","4567562,8327479055","4586454,111139963","4611665,828125","4630523,640625","4647116,818393783","4661838,137568784","4679456,346673337","4685347,133953751","4710926,68113612","4733709,51317351","4744644,523854735","4758945,575099943","4774393,841584158","4792415,03574647","4807364,857354028","4823905,846153846","4839496,701119314","4854597,464493597","27614,074738415544"
rH1D_3G56DY,1532728293,"93249,0","192328,25151348376","250707,0240475547","565896,2161577952","748345,1890686001","887507,5875486381","1037605,0038482683","1137951,2618061309","1297112,4714848883","1432718,4636005256","1516478,8912378303","1602189,7082235108","1691812,834199584","1725449,6325363824","1832160,5843507214","1887540,8802698145","1948265,4643372798","2004102,401620068","2072084,4509175648","2140676,546320805","2231376,420277542","2327268,438781321","2415401,9424829157","2499954,6992239766","2569339,6466591167","2636066,064671299","2706270,9176642336","2764090,0100982534","2808066,7162647513","2848533,006670087","2882858,0035451325","2917910,2949321517","2961737,110011001","3000520,410734149","3023624,3652711436","3064776,9153005467","3094742,868921776","3126366,5475687105","3156897,14254386","3180549,5757137695","3200775,9560938682","3223509,233226837","3248669,831271091","3271630,2150537632","3300575,3503986574","3341977,367398345","3379741,428056375","3419164,3612750885","3463179,326292385","3506844,015057573","3554079,6518761166","3594910,3139534886","3638102,180491759","3670976,8105482305","3699012,343890333","3735060,8585080965","3767235,481236203","3790827,3413413414","3818607,1458833804","3840107,64894932","3860389,391780822","3879648,408833522","3896569,063576159","3905512,140379851","3918814,905315615","3957390,051487955","3982223,739772452","4009611,086309524","4044301,5019823117","4070881,5587248323","4095945,556307395","4132275,2006125576","11286,288922610016"
52ubXjlVzUY,1533509243,"168364,0","321177,4146341463","420533,6284454245","690840,6843642156","999717,2439607114","1221812,0927520134","1424744,5309437132","1612981,817679558","1772301,9629936481","1902405,4134139637","2030061,741809017","2165025,1276892987","2270289,05251581","2368880,9351248643","2447683,2152551576","2522078,248044966","2600738,779697624","2686049,715909091","2803147,7870216304","2929236,6811793884","3024956,362089202","3164103,9267100976","3316605,224369297","3425221,532654792","3552879,211764706","3676454,0322144018","3781357,086859688","3867269,388987567","3947059,7705882355","4021200,6865904364","4088151,34586674","4147933,644420131","4194971,068001097","4244190,098028477","4286453,351503232","4350700,630541872","4402667,977495108","4448438,537787869","4477980,926748582","4513288,530524505","4548978,171717172","4578328,2169811325","4603094,254716981","4642135,182237914","4673250,78164557","4708502,863874345","4736593,852379672","4762330,125571391","4904367,074013158","5018793,468642498","5106113,065989847","5187333,9967532465","5267013,633195021","5329177,0948782535","5383984,120742358","5440963,946069869","5501790,613924051","5548690,806879053","5591959,616961528","5648279,078356426","5695438,562350693","5720900,449100113","5753661,939014429","5840778,335912869","5891669,848827353","5970436,417658456","6030157,193661026","6095600,319203597","6170403,402055235","6231649,459807074","6287308,119402985","6360022,464541833","28394,79355687048"
